container,mem_mb,cpu_pct,sample
xcommerce-gateway,458.2,0.19,1
xcommerce-kafdrop,388.8,0.12,1
xcommerce-order-service,427.0,0.32,1
xcommerce-identity-service,398.1,0.77,1
xcommerce-inventory-service,378.6,1.68,1
xcommerce-notification-service,374.5,0.45,1
xcommerce-catalog-service,421.9,0.07,1
xcommerce-cart-service,424.0,0.22,1
xcommerce-grafana,261.0,0.93,1
xcommerce-kafka,876.6,1.46,1
xcommerce-db-inventory,46.4,0.00,1
xcommerce-db-orders,127.1,0.00,1
xcommerce-db-catalog,44.6,0.00,1
xcommerce-db-identity,42.1,0.00,1
xcommerce-db-notification,45.0,0.00,1
xcommerce-db-cart,44.9,0.02,1
xcommerce-prometheus,89.5,0.45,1
xcommerce-jaeger,2.5,0.08,1
xcommerce-zookeeper,138.7,0.15,1
xcommerce-gateway,458.2,0.05,2
xcommerce-kafdrop,388.8,0.13,2
xcommerce-order-service,426.8,0.20,2
xcommerce-identity-service,398.1,0.10,2
xcommerce-inventory-service,378.4,10.60,2
xcommerce-notification-service,374.8,0.36,2
xcommerce-catalog-service,421.9,0.06,2
xcommerce-cart-service,424.0,0.33,2
xcommerce-grafana,261.0,0.67,2
xcommerce-kafka,876.6,1.51,2
xcommerce-db-inventory,46.4,0.00,2
xcommerce-db-orders,127.1,0.00,2
xcommerce-db-catalog,44.6,0.00,2
xcommerce-db-identity,42.1,0.00,2
xcommerce-db-notification,45.0,0.00,2
xcommerce-db-cart,44.9,0.01,2
xcommerce-prometheus,89.5,0.10,2
xcommerce-jaeger,2.5,0.04,2
xcommerce-zookeeper,138.7,0.13,2
xcommerce-gateway,458.2,1.29,3
xcommerce-kafdrop,388.8,0.12,3
xcommerce-order-service,426.8,0.25,3
xcommerce-identity-service,398.1,0.92,3
xcommerce-inventory-service,378.9,0.79,3
xcommerce-notification-service,374.5,0.66,3
xcommerce-catalog-service,421.9,0.04,3
xcommerce-cart-service,424.0,0.11,3
xcommerce-grafana,261.0,0.71,3
xcommerce-kafka,876.7,1.73,3
xcommerce-db-inventory,46.4,0.00,3
xcommerce-db-orders,127.1,0.02,3
xcommerce-db-catalog,44.6,0.00,3
xcommerce-db-identity,42.1,0.00,3
xcommerce-db-notification,45.0,0.00,3
xcommerce-db-cart,44.9,0.00,3
xcommerce-prometheus,89.5,0.20,3
xcommerce-jaeger,2.5,0.01,3
xcommerce-zookeeper,138.7,0.21,3
xcommerce-gateway,458.2,0.04,4
xcommerce-kafdrop,388.8,0.12,4
xcommerce-order-service,426.8,1.61,4
xcommerce-identity-service,398.2,1.54,4
xcommerce-inventory-service,378.4,1.18,4
xcommerce-notification-service,374.6,1.89,4
xcommerce-catalog-service,421.9,1.51,4
xcommerce-cart-service,424.0,2.87,4
xcommerce-grafana,261.0,0.88,4
xcommerce-kafka,876.7,2.97,4
xcommerce-db-inventory,46.4,0.00,4
xcommerce-db-orders,127.1,0.02,4
xcommerce-db-catalog,44.6,0.01,4
xcommerce-db-identity,42.1,0.01,4
xcommerce-db-notification,45.0,0.01,4
xcommerce-db-cart,44.9,0.02,4
xcommerce-prometheus,89.5,0.20,4
xcommerce-jaeger,2.5,0.18,4
xcommerce-zookeeper,138.7,0.18,4
xcommerce-gateway,458.0,0.77,5
xcommerce-kafdrop,388.8,0.12,5
xcommerce-order-service,426.8,0.17,5
xcommerce-identity-service,398.4,1.25,5
xcommerce-inventory-service,378.4,1.59,5
xcommerce-notification-service,374.6,1.66,5
xcommerce-catalog-service,421.9,0.07,5
xcommerce-cart-service,424.0,0.13,5
xcommerce-grafana,261.0,0.70,5
xcommerce-kafka,876.7,1.39,5
xcommerce-db-inventory,46.4,0.00,5
xcommerce-db-orders,127.1,0.00,5
xcommerce-db-catalog,44.6,0.00,5
xcommerce-db-identity,42.1,0.00,5
xcommerce-db-notification,45.0,0.00,5
xcommerce-db-cart,44.9,0.00,5
xcommerce-prometheus,89.5,0.22,5
xcommerce-jaeger,2.5,0.10,5
xcommerce-zookeeper,138.7,0.16,5
xcommerce-gateway,458.1,0.04,6
xcommerce-kafdrop,388.8,0.13,6
xcommerce-order-service,426.8,0.30,6
xcommerce-identity-service,398.5,0.07,6
xcommerce-inventory-service,378.7,0.86,6
xcommerce-notification-service,374.6,1.26,6
xcommerce-catalog-service,421.9,1.16,6
xcommerce-cart-service,424.0,0.16,6
xcommerce-grafana,261.0,0.59,6
xcommerce-kafka,876.7,1.08,6
xcommerce-db-inventory,46.4,0.01,6
xcommerce-db-orders,127.1,0.00,6
xcommerce-db-catalog,44.6,0.00,6
xcommerce-db-identity,42.1,0.00,6
xcommerce-db-notification,45.0,0.01,6
xcommerce-db-cart,44.9,0.00,6
xcommerce-prometheus,89.5,0.42,6
xcommerce-jaeger,2.5,0.22,6
xcommerce-zookeeper,138.7,0.20,6
xcommerce-gateway,458.1,0.74,7
xcommerce-kafdrop,388.8,0.15,7
xcommerce-order-service,426.8,0.22,7
xcommerce-identity-service,398.5,0.44,7
xcommerce-inventory-service,378.5,3.11,7
xcommerce-notification-service,374.6,0.81,7
xcommerce-catalog-service,421.9,0.08,7
xcommerce-cart-service,424.0,0.18,7
xcommerce-grafana,261.0,0.76,7
xcommerce-kafka,876.7,1.48,7
xcommerce-db-inventory,46.4,0.01,7
xcommerce-db-orders,127.1,0.01,7
xcommerce-db-catalog,44.6,0.01,7
xcommerce-db-identity,42.1,0.00,7
xcommerce-db-notification,45.0,0.00,7
xcommerce-db-cart,44.9,0.00,7
xcommerce-prometheus,89.5,0.21,7
xcommerce-jaeger,2.5,0.33,7
xcommerce-zookeeper,138.7,0.15,7
xcommerce-gateway,458.1,0.34,8
xcommerce-kafdrop,388.8,0.14,8
xcommerce-order-service,426.8,0.24,8
xcommerce-identity-service,398.5,0.76,8
xcommerce-inventory-service,378.8,2.01,8
xcommerce-notification-service,374.6,0.79,8
xcommerce-catalog-service,421.9,0.08,8
xcommerce-cart-service,424.0,0.25,8
xcommerce-grafana,261.0,0.97,8
xcommerce-kafka,877.0,1.89,8
xcommerce-db-inventory,46.4,0.01,8
xcommerce-db-orders,127.1,0.00,8
xcommerce-db-catalog,44.6,0.00,8
xcommerce-db-identity,42.1,0.00,8
xcommerce-db-notification,45.0,0.00,8
xcommerce-db-cart,44.9,0.00,8
xcommerce-prometheus,89.6,0.38,8
xcommerce-jaeger,2.5,0.15,8
xcommerce-zookeeper,138.7,0.28,8
xcommerce-gateway,458.1,0.05,9
xcommerce-kafdrop,388.8,0.13,9
xcommerce-order-service,426.8,0.27,9
xcommerce-identity-service,398.5,0.15,9
xcommerce-inventory-service,378.6,7.66,9
xcommerce-notification-service,374.6,0.29,9
xcommerce-catalog-service,421.9,0.06,9
xcommerce-cart-service,424.0,0.38,9
xcommerce-grafana,261.0,0.67,9
xcommerce-kafka,876.7,1.37,9
xcommerce-db-inventory,46.4,0.92,9
xcommerce-db-orders,127.1,0.54,9
xcommerce-db-catalog,44.6,0.49,9
xcommerce-db-identity,42.1,0.55,9
xcommerce-db-notification,45.0,0.79,9
xcommerce-db-cart,44.9,0.83,9
xcommerce-prometheus,89.5,0.05,9
xcommerce-jaeger,2.5,0.01,9
xcommerce-zookeeper,138.7,0.26,9
xcommerce-gateway,458.3,0.72,10
xcommerce-kafdrop,388.8,0.13,10
xcommerce-order-service,426.8,0.23,10
xcommerce-identity-service,398.5,0.77,10
xcommerce-inventory-service,378.6,0.81,10
xcommerce-notification-service,374.6,0.49,10
xcommerce-catalog-service,421.9,0.07,10
xcommerce-cart-service,423.9,0.07,10
xcommerce-grafana,261.0,0.74,10
xcommerce-kafka,877.0,1.65,10
xcommerce-db-inventory,46.4,0.00,10
xcommerce-db-orders,127.1,0.00,10
xcommerce-db-catalog,44.6,0.01,10
xcommerce-db-identity,42.1,0.00,10
xcommerce-db-notification,45.0,0.00,10
xcommerce-db-cart,44.9,0.00,10
xcommerce-prometheus,89.5,0.22,10
xcommerce-jaeger,2.5,0.02,10
xcommerce-zookeeper,138.7,0.15,10
xcommerce-gateway,458.1,0.05,11
xcommerce-kafdrop,388.8,0.13,11
xcommerce-order-service,426.8,1.27,11
xcommerce-identity-service,398.5,1.27,11
xcommerce-inventory-service,378.6,1.01,11
xcommerce-notification-service,374.6,1.67,11
xcommerce-catalog-service,421.9,1.17,11
xcommerce-cart-service,423.9,1.80,11
xcommerce-grafana,261.0,0.64,11
xcommerce-kafka,876.7,2.94,11
xcommerce-db-inventory,46.4,1.41,11
xcommerce-db-orders,127.1,1.41,11
xcommerce-db-catalog,44.6,1.48,11
xcommerce-db-identity,42.1,1.46,11
xcommerce-db-notification,45.0,1.40,11
xcommerce-db-cart,44.9,1.43,11
xcommerce-prometheus,89.5,0.20,11
xcommerce-jaeger,2.5,0.17,11
xcommerce-zookeeper,138.7,0.18,11
xcommerce-gateway,458.1,0.75,12
xcommerce-kafdrop,388.8,0.15,12
xcommerce-order-service,426.8,0.21,12
xcommerce-identity-service,398.5,0.22,12
xcommerce-inventory-service,378.6,0.60,12
xcommerce-notification-service,374.6,0.55,12
xcommerce-catalog-service,421.9,0.08,12
xcommerce-cart-service,423.9,0.13,12
xcommerce-grafana,261.0,0.91,12
xcommerce-kafka,876.8,1.84,12
xcommerce-db-inventory,46.4,0.00,12
xcommerce-db-orders,127.1,0.00,12
xcommerce-db-catalog,44.6,0.00,12
xcommerce-db-identity,42.1,0.00,12
xcommerce-db-notification,45.0,0.00,12
xcommerce-db-cart,44.9,0.04,12
xcommerce-prometheus,89.5,0.23,12
xcommerce-jaeger,2.5,0.11,12
xcommerce-zookeeper,138.7,0.18,12
xcommerce-gateway,458.1,0.05,13
xcommerce-kafdrop,388.8,0.17,13
xcommerce-order-service,426.8,0.23,13
xcommerce-identity-service,398.5,0.06,13
xcommerce-inventory-service,378.6,1.82,13
xcommerce-notification-service,374.6,1.21,13
xcommerce-catalog-service,421.9,0.79,13
xcommerce-cart-service,423.9,0.08,13
xcommerce-grafana,261.0,0.55,13
xcommerce-kafka,876.7,1.44,13
xcommerce-db-inventory,46.4,0.00,13
xcommerce-db-orders,127.1,0.00,13
xcommerce-db-catalog,44.6,0.00,13
xcommerce-db-identity,42.1,0.00,13
xcommerce-db-notification,45.0,0.00,13
xcommerce-db-cart,44.9,0.01,13
xcommerce-prometheus,89.6,0.34,13
xcommerce-jaeger,2.5,0.23,13
xcommerce-zookeeper,138.7,0.25,13
xcommerce-gateway,458.1,0.75,14
xcommerce-kafdrop,388.8,0.14,14
xcommerce-order-service,426.8,0.35,14
xcommerce-identity-service,398.5,0.28,14
xcommerce-inventory-service,378.9,2.20,14
xcommerce-notification-service,375.1,0.67,14
xcommerce-catalog-service,421.9,0.13,14
xcommerce-cart-service,423.9,0.10,14
xcommerce-grafana,261.0,0.69,14
xcommerce-kafka,876.7,1.57,14
xcommerce-db-inventory,46.4,0.01,14
xcommerce-db-orders,127.1,0.00,14
xcommerce-db-catalog,44.6,0.03,14
xcommerce-db-identity,42.1,0.00,14
xcommerce-db-notification,45.0,0.00,14
xcommerce-db-cart,44.9,0.00,14
xcommerce-prometheus,89.6,0.25,14
xcommerce-jaeger,2.5,0.16,14
xcommerce-zookeeper,138.7,0.19,14
xcommerce-gateway,458.1,0.36,15
xcommerce-kafdrop,388.8,0.19,15
xcommerce-order-service,426.8,0.29,15
xcommerce-identity-service,398.5,1.27,15
xcommerce-inventory-service,378.9,3.99,15
xcommerce-notification-service,374.6,0.43,15
xcommerce-catalog-service,421.9,0.07,15
xcommerce-cart-service,423.9,0.16,15
xcommerce-grafana,261.0,0.87,15
xcommerce-kafka,876.7,1.67,15
xcommerce-db-inventory,46.4,0.03,15
xcommerce-db-orders,127.1,0.00,15
xcommerce-db-catalog,44.6,0.00,15
xcommerce-db-identity,42.1,0.00,15
xcommerce-db-notification,45.0,0.00,15
xcommerce-db-cart,44.9,0.00,15
xcommerce-prometheus,89.6,0.47,15
xcommerce-jaeger,2.5,0.16,15
xcommerce-zookeeper,138.7,0.18,15
xcommerce-gateway,458.1,0.06,16
xcommerce-kafdrop,388.8,0.11,16
xcommerce-order-service,427.0,0.23,16
xcommerce-identity-service,398.5,0.10,16
xcommerce-inventory-service,378.7,0.88,16
xcommerce-notification-service,374.6,0.65,16
xcommerce-catalog-service,421.9,0.07,16
xcommerce-cart-service,423.9,0.26,16
xcommerce-grafana,261.0,0.87,16
xcommerce-kafka,876.7,2.03,16
xcommerce-db-inventory,46.4,0.01,16
xcommerce-db-orders,127.1,0.01,16
xcommerce-db-catalog,44.6,0.00,16
xcommerce-db-identity,42.1,0.00,16
xcommerce-db-notification,45.0,0.01,16
xcommerce-db-cart,44.9,0.00,16
xcommerce-prometheus,89.5,0.07,16
xcommerce-jaeger,2.5,0.04,16
xcommerce-zookeeper,138.7,0.18,16
xcommerce-gateway,458.1,1.20,17
xcommerce-kafdrop,388.8,0.15,17
xcommerce-order-service,426.8,0.35,17
xcommerce-identity-service,398.5,0.46,17
xcommerce-inventory-service,378.7,0.68,17
xcommerce-notification-service,374.8,0.54,17
xcommerce-catalog-service,421.9,0.06,17
xcommerce-cart-service,423.9,0.08,17
xcommerce-grafana,261.0,0.76,17
xcommerce-kafka,876.7,1.73,17
xcommerce-db-inventory,46.4,0.01,17
xcommerce-db-orders,127.1,0.01,17
xcommerce-db-catalog,44.6,0.00,17
xcommerce-db-identity,42.1,0.00,17
xcommerce-db-notification,45.0,0.02,17
xcommerce-db-cart,44.9,0.00,17
xcommerce-prometheus,89.6,0.23,17
xcommerce-jaeger,2.5,0.02,17
xcommerce-zookeeper,138.7,0.25,17
xcommerce-gateway,458.1,0.05,18
xcommerce-kafdrop,388.8,0.14,18
xcommerce-order-service,426.8,0.26,18
xcommerce-identity-service,398.5,0.10,18
xcommerce-inventory-service,378.7,1.28,18
xcommerce-notification-service,374.6,0.40,18
xcommerce-catalog-service,421.9,0.07,18
xcommerce-cart-service,423.9,0.33,18
xcommerce-grafana,261.0,0.90,18
xcommerce-kafka,876.7,1.37,18
xcommerce-db-inventory,46.4,1.26,18
xcommerce-db-orders,127.1,1.31,18
xcommerce-db-catalog,44.6,1.23,18
xcommerce-db-identity,42.1,1.27,18
xcommerce-db-notification,45.0,1.36,18
xcommerce-db-cart,44.9,1.27,18
xcommerce-prometheus,89.6,0.10,18
xcommerce-jaeger,2.5,0.11,18
xcommerce-zookeeper,138.7,0.21,18
xcommerce-gateway,458.1,0.73,19
xcommerce-kafdrop,388.8,0.16,19
xcommerce-order-service,426.8,0.52,19
xcommerce-identity-service,398.5,0.22,19
xcommerce-inventory-service,378.9,0.69,19
xcommerce-notification-service,374.6,0.62,19
xcommerce-catalog-service,421.9,0.08,19
xcommerce-cart-service,423.9,0.07,19
xcommerce-grafana,261.0,2.68,19
xcommerce-kafka,876.7,1.72,19
xcommerce-db-inventory,46.4,0.00,19
xcommerce-db-orders,127.1,0.02,19
xcommerce-db-catalog,44.6,0.00,19
xcommerce-db-identity,42.1,0.01,19
xcommerce-db-notification,45.0,0.00,19
xcommerce-db-cart,44.9,0.00,19
xcommerce-prometheus,89.6,0.19,19
xcommerce-jaeger,2.5,0.10,19
xcommerce-zookeeper,138.7,0.22,19
xcommerce-gateway,458.1,0.05,20
xcommerce-kafdrop,388.8,0.11,20
xcommerce-order-service,426.8,0.38,20
xcommerce-identity-service,398.6,0.09,20
xcommerce-inventory-service,379.1,1.92,20
xcommerce-notification-service,374.6,3.28,20
xcommerce-catalog-service,421.9,0.92,20
xcommerce-cart-service,423.9,0.08,20
xcommerce-grafana,261.0,0.64,20
xcommerce-kafka,876.7,1.18,20
xcommerce-db-inventory,46.4,0.00,20
xcommerce-db-orders,127.1,0.00,20
xcommerce-db-catalog,44.6,0.00,20
xcommerce-db-identity,42.1,0.00,20
xcommerce-db-notification,45.0,0.01,20
xcommerce-db-cart,44.9,0.00,20
xcommerce-prometheus,89.6,0.41,20
xcommerce-jaeger,2.5,0.31,20
xcommerce-zookeeper,138.7,0.16,20
xcommerce-gateway,458.1,0.83,21
xcommerce-kafdrop,388.8,0.14,21
