container,mem_mb,cpu_pct,sample
monolith-app,827.5,0.64,1
monolith-db,67.5,0.00,1
monolith-redis,18.0,0.76,1
monolith-app,827.5,0.69,2
monolith-db,67.4,0.00,2
monolith-redis,18.3,0.75,2
monolith-app,827.5,0.66,3
monolith-db,67.4,0.60,3
monolith-redis,18.0,0.63,3
monolith-app,827.5,0.61,4
monolith-db,67.5,0.00,4
monolith-redis,17.8,0.66,4
monolith-app,827.5,0.61,5
monolith-db,67.7,1.49,5
monolith-redis,18.0,0.75,5
monolith-app,827.5,0.60,6
monolith-db,67.4,0.01,6
monolith-redis,18.0,0.76,6
monolith-app,827.5,0.79,7
monolith-db,67.4,0.00,7
monolith-redis,18.3,0.68,7
monolith-app,827.5,0.78,8
monolith-db,67.8,0.00,8
monolith-redis,18.0,0.68,8
monolith-app,827.5,0.65,9
monolith-db,67.4,0.00,9
monolith-redis,18.3,0.67,9
monolith-app,827.5,0.61,10
monolith-db,67.4,0.00,10
monolith-redis,18.3,0.59,10
monolith-app,827.5,0.79,11
monolith-db,67.5,0.00,11
monolith-redis,17.8,0.66,11
monolith-app,827.8,0.61,12
monolith-db,66.7,0.00,12
monolith-redis,17.8,0.66,12
monolith-app,827.6,0.58,13
monolith-db,64.3,1.04,13
monolith-redis,18.0,0.69,13
monolith-app,827.6,1.73,14
monolith-db,62.8,1.00,14
monolith-redis,18.0,0.78,14
monolith-app,827.6,0.63,15
monolith-db,61.0,0.00,15
monolith-redis,17.8,0.71,15
monolith-app,827.6,0.63,16
monolith-db,60.2,0.00,16
monolith-redis,18.0,0.87,16
monolith-app,827.5,0.65,17
monolith-db,59.7,0.76,17
monolith-redis,17.8,0.85,17
monolith-app,827.5,1.01,18
monolith-db,59.6,1.50,18
monolith-redis,18.0,0.79,18
monolith-app,827.5,0.94,19
monolith-db,59.4,0.01,19
monolith-redis,18.0,0.70,19
monolith-app,827.5,0.47,20
monolith-db,59.4,0.00,20
monolith-redis,18.0,0.39,20
monolith-app,827.5,0.83,21
monolith-db,59.6,0.00,21
monolith-redis,18.0,0.66,21
monolith-app,827.5,1.20,22
monolith-db,59.5,0.01,22
monolith-redis,18.0,1.11,22
monolith-app,827.5,0.62,23
monolith-db,59.4,1.24,23
monolith-redis,17.8,0.74,23
monolith-app,827.5,0.62,24
monolith-db,59.5,0.00,24
monolith-redis,18.0,0.90,24
